,a0.1_g1,a0.1_g0.9,a0.1_g0.8,a0.1_g0.7,a0.2_g1,a0.2_g0.9,a0.2_g0.8,a0.2_g0.7,a0.3_g1,a0.3_g0.9,a0.3_g0.8,a0.3_g0.7
83,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0,-542.0
84,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
85,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0,-524.0
86,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
87,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0
88,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0,-515.0
89,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0
90,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0,-222.0
91,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0
92,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0,-533.0
93,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0
94,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0
95,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0
96,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0
97,-202.0,-202.0,-202.0,-202.0,-202.0,-202.0,-202.0,-202.0,-202.0,-202.0,-202.0,-202.0
98,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0
99,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0,-497.0
100,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0
101,-172.0,-172.0,-172.0,-172.0,-172.0,-172.0,-172.0,-172.0,-172.0,-172.0,-172.0,-172.0
102,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0
103,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0,-443.0
104,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0,-452.0
105,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0
106,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0
107,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0
108,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0
109,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0,-407.0
110,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0
111,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0
112,-470.0,-470.0,-470.0,-470.0,-470.0,-470.0,-470.0,-470.0,-470.0,-470.0,-470.0,-470.0
113,-252.0,-252.0,-252.0,-252.0,-252.0,-252.0,-252.0,-252.0,-252.0,-252.0,-252.0,-252.0
114,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0
115,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0,-425.0
116,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0
117,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0,-461.0
118,-178.0,-178.0,-178.0,-178.0,-178.0,-178.0,-178.0,-178.0,-178.0,-178.0,-178.0,-178.0
119,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0
120,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0,-389.0
121,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0
122,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0
123,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
124,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0
125,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0,-416.0
126,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0
127,-274.0,-274.0,-274.0,-274.0,-274.0,-274.0,-274.0,-274.0,-274.0,-274.0,-274.0,-274.0
128,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
129,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0
130,-434.0,-434.0,-434.0,-434.0,-434.0,-434.0,-434.0,-434.0,-434.0,-434.0,-434.0,-434.0
131,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0,-353.0
132,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0
133,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0
134,-161.0,-161.0,-161.0,-161.0,-161.0,-161.0,-161.0,-161.0,-161.0,-161.0,-161.0,-161.0
135,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
136,-218.0,-218.0,-218.0,-218.0,-218.0,-218.0,-218.0,-218.0,-218.0,-218.0,-218.0,-218.0
137,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0,-23.0
138,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
139,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0
140,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
141,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0,-398.0
142,-135.0,-135.0,-135.0,-135.0,-135.0,-135.0,-135.0,-135.0,-135.0,-135.0,-135.0,-135.0
143,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0,-299.0
144,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0,-371.0
145,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0
146,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0
147,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0
148,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0
149,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0
150,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0
151,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0
152,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0
153,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0
154,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0
155,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0
156,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0,-344.0
157,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0,-281.0
158,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0
159,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0,-335.0
160,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0,-362.0
161,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0,-380.0
162,-141.0,-141.0,-141.0,-141.0,-141.0,-141.0,-141.0,-141.0,-141.0,-141.0,-141.0,-141.0
163,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0,-317.0
164,-304.0,-304.0,-304.0,-304.0,-304.0,-304.0,-304.0,-304.0,-304.0,-304.0,-304.0,-304.0
165,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0,-308.0
166,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0,-326.0
